question,answer_agent,answer_orig,tool_calls,cost,document
How do students join the office hours or live workshop if the Zoom link isn’t shared with us?,"Students don’t get the Zoom link directly.

For office hours or live/workshop sessions:
- The Zoom link is only shared with instructors/presenters/TAs.
- Students join via **YouTube Live**.
- Questions should be submitted through **Slido**; the link is usually pinned in the live chat.
- The live session URL is posted in the **announcements channel on Telegram and Slack** before it starts.
- You can also watch on the **DataTalksClub YouTube channel**.

Also, don’t rely on posting questions in chat, since they can be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""office hours live workshop Zoom link shared with us join students FAQ\""}""}]",0.0014925,489dd1c9d9
Where can I find the stream link or video URL before an office hours session starts?,"The stream/video URL is usually posted **before the session starts** in the **announcements channel on Telegram and Slack**. You can also watch it live on the **DataTalksClub YouTube channel**.

A note: the **Zoom link is only for instructors/presenters/TAs**; students join via **YouTube Live** and use **Slido** for questions.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""stream link video URL before office hours session starts office hours FAQ\""}""}]",0.00136275,489dd1c9d9
"If I’m watching the live session, what’s the best place to send my questions so they get seen?","If you’re watching live, the best place to send questions is **Slido** — the link is usually **pinned in the live chat**.

A couple of notes:
- **Don’t post questions in the chat** if you want them to be seen reliably, since they can get missed.
- You can also follow the **announcements on Telegram or Slack** for the live/session link.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""live session best place send questions get seen\""}""}]",0.0012885,489dd1c9d9
"Can I ask questions directly in the chat during the live workshop, or is there another way?","You generally **shouldn’t post questions directly in the chat**, since they may get missed if things are busy.

Instead, during live/workshop sessions:
- **Ask via Slido** — the link is usually **pinned in the chat**
- You can also follow the **announcements channel on Telegram/Slack** for the live link

If you want, I can also tell you where the session video is posted.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""live workshop ask questions directly in chat during the live workshop another way\""}""}]",0.001314,489dd1c9d9
"Is the session also available on YouTube, and do I need to use any special link to watch it?","Yes — students can watch the session live on the DataTalksClub **YouTube Channel**.

You **don’t need a special Zoom link** to watch; the Zoom link is only for instructors/presenters/TAs. For students, the video URL is posted in the **announcements channel on Telegram and Slack** before the session starts, and questions should be submitted via **Slido** when live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""session available on YouTube special link watch it\""}""}]",0.0014325,489dd1c9d9
Where do I begin if I want to follow this course properly and not miss anything important?,"A good way to start is:

1. Read the **LLM Zoomcamp docs**
2. Check the **general Zoomcamp logistics docs**
3. Open the **LLM Zoomcamp GitHub repository**

Then follow the usual weekly flow:

- Watch the lesson videos
- Work through the lesson notebooks/code
- Read the homework instructions on GitHub
- Submit your answers on the course platform before the deadline

You can also start anytime — the materials are available, and deadlines are listed on the course management platform.

If you want, I can also help you map out a “week 1 checklist” so you don’t miss anything.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""Where do I begin if I want to follow this course properly and not miss anything important? start course recommended order syllabus first steps\""}""}]",0.0017115,04919992b3
What's the usual weekly routine for going through the lessons and homework in this course?,"A typical weekly workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers through the course platform before the deadline.

Homework usually follows the lesson structure, but with a different dataset or slightly different task.

If you want, I can also point you to the main docs/repo links for getting started.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""usual weekly routine lessons homework course weekly routine lessons homework\""}""}]",0.00138825,04919992b3
"Do I need to wait for a specific start date, or can I jump into the materials anytime?","You can jump into the materials anytime — there’s no need to wait for a specific start date.

The FAQ says:
- “You can start whenever you want.”
- The videos and GitHub materials are available.
- Deadlines are listed on the course management platform.

If you want, I can also point you to the recommended first steps for starting the course.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""start date materials anytime jump into materials self paced start anytime FAQ\""}""}]",0.001524,04919992b3
Which pages or repos should I check first so I can keep up with the course work and deadlines?,"To stay on top of the course work and deadlines, check these first:

1. **Course management platform**  
   - This is the main place for **deadlines, homework, and progress tracking**.  
   - Link: https://courses.datatalks.club/llm-zoomcamp-2026/

2. **LLM Zoomcamp docs**  
   - Good for the overall course structure and workflow.  
   - Link: https://datatalks.club/docs/courses/llm-zoomcamp/

3. **General Zoomcamp logistics docs**  
   - Helpful for course-wide logistics and how things are organized.  
   - Link: https://datatalks.club/docs/courses/zoomcamp-logistics/

4. **LLM Zoomcamp GitHub repository**  
   - This is where you’ll find the lesson materials and homework instructions.  
   - Link: https://github.com/DataTalksClub/llm-zoomcamp

A typical workflow is:
- watch the lesson videos,
- work through the notebooks/code,
- read the homework on GitHub,
- submit on the course platform before the deadline.

If you want, I can also summarize the **best weekly study routine** for the course.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""pages or repos check first keep up with course work deadlines FAQ course pages repos deadlines\""}""}]",0.0020775,04919992b3
How is the homework usually set up compared with what we do in the lesson notebooks?,"Homework usually follows the same workflow as the lesson notebooks, but it often asks you to apply the same ideas in a slightly different way or on a different dataset.

So in short:
- similar structure and concepts to the lesson notebooks
- but not identical tasks
- the GitHub homework instructions usually include the important extra details

If it feels unclear, it’s a good idea to check the GitHub homework instructions first, since they can explain the setup better than the course platform page.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""homework usually set up compared with lesson notebooks\""}""}]",0.0015195,04919992b3
How can I find my own entry on the leaderboard if I don't see my name right away?,"If you don’t see your name right away on the leaderboard, click the **“Jump to your record on the leaderboard”** link — it will take you directly to your entry.

Also, your account is assigned a random public nickname by default, so if you’re looking for a different name, check **“Edit Course Profile”** to see your **display name**.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""leaderboard find own entry if don't see my name right away search your name ctrl f FAQ\""}""}]",0.0016920,c2903069a0
Why do I have some random display name instead of my real name in the course records?,"That random name is your **public display name** on the leaderboard/records. The course assigns a random nickname by default, so your real name doesn’t show publicly unless you change it.

You can fix it in **Edit Course Profile**:

- **First field**: your public display name/nickname
- **Second field**: your official real name for the certificate

If you want, I can also tell you how to find your entry on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""random display name instead of real name course records display name real name FAQ\""}""}]",0.0017670,c2903069a0
Where do I check what name is showing as my display name in the course profile?,"Check the **“Edit Course Profile”** page.

In the FAQ, your **display name / nickname** is the **first field** there. You can use that to see what name is showing publicly on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""display name course profile where to check what name is showing as my display name\""}""}]",0.00156525,c2903069a0
Can I change the nickname that appears publicly without affecting my certificate name?,"Yes — you can change the public nickname separately from the certificate name.

- **First field in “Edit Course Profile”**: your **public display name/nickname** shown on the leaderboard.
- **Second field**: your **official certificate name**.

So changing your nickname will **not** affect the name printed on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""change nickname publicly without affecting certificate name public nickname certificate name FAQ\""}""}]",0.00119325,c2903069a0
What should I edit if I want my real legal name to appear on the certificate instead of the default one?,"Edit the **second field** in **“Edit Course Profile”** — that’s the **official name printed on your certificate**.

The **first field** is just your public display/nickname for the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""certificate real legal name default one edit name appears on certificate FAQ\""}""}]",0.0011025,c2903069a0
Can I do the course on my own schedule and still get the certificate later?,"You can work through the material in self-paced mode, but **you cannot get the certificate that way**.

According to the FAQ, the certificate is only available if you **finish the course with a live cohort**. You need to:
- complete the **capstone project**
- finish the **required peer reviews**

Homework is **not required** for the certificate.

So: **yes, you can study on your own schedule, but to get the certificate later, you must submit the project and peer reviews while a live cohort is accepting them.**","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""self-paced on my own schedule certificate later course FAQ\""}""}]",0.0017175,69d122f12e
"If I watch all the lessons self-paced, what else do I need for the certificate?","If you watch all the lessons self-paced, that’s not enough for the certificate.

To get the certificate, you need:
- complete the capstone project
- do the required peer reviews
- submit the project while a live cohort is accepting submissions

Homework is not required.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""certificate self-paced lessons what else do I need for the certificate\""}""}]",0.0013530,69d122f12e
"Do I need to turn in homework to get certified, or is the final project enough?","No — homework is **not mandatory** for certification.

According to the FAQ, **passing the Capstone project is what’s required to get the certificate**. Homework points only affect your **leaderboard rank**, not certification.

So if you complete and pass the **final project / Capstone**, that’s enough for certification.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""certified homework final project enough turn in homework required certification FAQ\""}""}]",0.0013065,69d122f12e
"Can I submit the capstone after the cohort ends, or does it have to be during the live run?","Yes — the capstone has to be submitted while a **live cohort is accepting submissions**. You can prepare it in self-paced mode, but **project submission and peer review must happen during the live run** to count for the certificate.

If you miss that window, you generally can’t submit it afterward.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""capstone submit after cohort ends live run deadline cohort ends FAQ\""}""}]",0.00115275,69d122f12e
"Are peer reviews mandatory for the certificate, and can they be done outside the cohort window?","Yes — **peer reviews are mandatory for the certificate**.

Also, they **cannot be done outside the live cohort window**. The FAQ says you can prepare in self-paced mode, but **project submission and peer review must happen while a live cohort is accepting them**.

If you want, I can also summarize exactly what’s required for the certificate in one checklist.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""peer reviews mandatory certificate outside cohort window\""}""}]",0.0013695,69d122f12e
"If I skip the first homework, can I still earn the course certificate?","Yes — skipping the first homework does **not** prevent you from earning the certificate.

According to the FAQ, **homework is not mandatory**. To get the certificate, you need to:

- **Pass the Capstone project**
- **Complete the required peer reviews**
- Do this while a **live cohort** is accepting submissions

Homework can help with learning and leaderboard points, but it is **not required** for the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""skip first homework still earn course certificate homework certificate policy FAQ\""}""}]",0.00120675,9f689c185f
"Do I have to do every homework to get the certificate, or is the final project enough?","No — homework is **not required** for the certificate.

According to the FAQ, you get the certificate by:
- finishing the course with a **live cohort**
- completing the **capstone/final project**
- doing the **required peer reviews**

You can do the course materials and homework for practice, but the **final project is what matters for the certificate**, not every homework.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""certificate homework final project enough required all homework FAQ\""}""}]",0.0012285,9f689c185f
What do I need to complete in order to receive the certificate for this course?,"To get the certificate, you need to:

- **Finish the course with a live cohort**
- **Complete the capstone project**
- **Complete the required peer reviews**

A few notes:
- **Homework is not required** for the certificate.
- You can study in self-paced mode, but **project submission and peer review must happen while a live cohort is accepting them**.

If you want, I can also tell you whether you can still join the course and qualify for a certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""certificate requirements complete course receive certificate\""}""}]",0.00122925,9f689c185f
"Are homework assignments required, or are they only there to help me practice and improve my score?","Homework assignments are meant to be done — they’re part of the course, not just optional practice. They also help you improve your score, but the FAQ doesn’t say they’re only for practice.

Also, homework is considered ready only when:
- the homework form is open on the course management platform, and
- the homework title does not contain `[DRAFT]`.

If you want, I can also help you find the homework instructions for your module.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""homework assignments required practice improve score FAQ\""}""}]",0.00138075,9f689c185f
"Does missing homework affect my eligibility for the certificate, or just my leaderboard position?","Missing homework affects your **leaderboard position**, not your **certificate eligibility**.

According to the FAQ, **homework is not mandatory** for the certificate. To get the certificate, you need to **pass the Capstone project** (and complete the required peer reviews if applicable). Homework points only count toward your **rank on the leaderboard**.

","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""missing homework certificate eligibility leaderboard position FAQ\""}""}]",0.00124275,9f689c185f
Why does the homework page keep changing before it’s due?,"The homework can change before it’s due if it’s still a draft.

It’s only considered ready when both are true:
- The homework form is open on the course management platform.
- The homework title does **not** contain `[DRAFT]`.

Until then, the content may still be updated, so working on it early is at your own risk because the final version can be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""homework page keep changing before due FAQ\"" }""}]",0.00131625,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,"If a homework title contains `[DRAFT]`, it means the homework is **not ready yet**.

It becomes ready only when both are true:
- the homework form is open on the course platform, and
- the title no longer contains `[DRAFT]`.

Until then, the content may still change, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""[DRAFT] homework title means draft homework FAQ\""}""}]",0.0013335,96286b4be4
How do I know the homework is actually ready and final?,"The homework is ready only when **both** of these are true:

- The homework form is open on the course management platform.
- The homework title **does not** contain `[DRAFT]`.

If the title still says `[DRAFT]`, it’s **not final yet**, and the content may still change. Working on it before that is at your own risk because the final version can differ.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""homework ready final status how do I know final homework is ready\""}""}]",0.00144075,96286b4be4
