question,document,answer_score,answer_reasoning,trajectory_score,trajectory_reasoning
"Can I ask questions directly in the chat during the live workshop, or is there another way?",489dd1c9d9,good,"The agent answer matches the key points of the ground truth: students should not ask questions directly in chat because they may be missed, and they should use Slido with the link pinned in chat. It also mentions Telegram/Slack announcements for the live link, which is consistent with the original. The only missing detail is the YouTube Live/DataTalksClub channel mention, but that is not essential to the core answer.",good,"The single search query was relevant to the question and included the main concepts (live workshop, questions in chat, another way). One search call was reasonable, and there were no unnecessary duplicate calls. The tool use supported the final answer."
"Is the session also available on YouTube, and do I need to use any special link to watch it?",489dd1c9d9,good,"The agent’s answer matches the ground truth. It correctly states that students can watch live on the DataTalksClub YouTube channel, that no special Zoom link is needed for students, that the video URL is posted in the announcements channel on Telegram and Slack, and that questions should be submitted via Slido. This contains the key information from the original answer.",good,"The single search query was relevant to the question and included the main concepts (session on YouTube, special link). Only one search was needed, and there were no unnecessary or duplicate calls. The tool use was reasonable and supported the final answer."
Where do I begin if I want to follow this course properly and not miss anything important?,04919992b3,good,"The agent answer matches the ground truth well. It includes the same starting resources (LLM Zoomcamp docs, general Zoomcamp logistics docs, and the GitHub repo), the same recommended workflow (watch videos, work through notebooks/code, read homework instructions, submit on the platform before the deadline), and the same note that the course can be started anytime because materials and deadlines are available online. It omits the exact links and the final note that homework is similar but uses a different dataset or slightly different task, but the core guidance is present.",good,"The single search query is relevant to the user's question and includes the key idea of getting started properly without missing anything. One search call is reasonable here, and there were no duplicate or unnecessary calls. The query could have been a bit more specific to LLM Zoomcamp, but it was still sufficient."
What's the usual weekly routine for going through the lessons and homework in this course?,04919992b3,good,"The agent’s answer matches the ground truth on the key points: watch lesson videos, work through notebooks/code, read homework instructions on GitHub, and submit through the course platform before the deadline. It also correctly notes that homework follows the lesson structure but with a different dataset or slightly different task. The only omission is the introductory links and the note that you can start whenever you want, but those are extra context rather than core to the question.",good,"The single search query is relevant to the question and includes the main concepts (weekly routine, lessons, homework). One search was sufficient, and there were no unnecessary duplicate calls. The tool use was reasonable and supported the final answer, even though the answer could have been given without it."
"Do I need to wait for a specific start date, or can I jump into the materials anytime?",04919992b3,good,"The agent’s answer matches the ground truth on the key point: you can start anytime and there is no need to wait for a specific start date. It also correctly mentions that videos/GitHub materials are available and that deadlines are on the course management platform. It omits some extra grounding links and the typical workflow, but those were not essential to the direct question.",good,"The single search query is relevant to the question and includes the core idea of starting anytime/self-paced. One search is reasonable here, and there were no unnecessary duplicate calls. The tool call supports the final answer adequately."
Which pages or repos should I check first so I can keep up with the course work and deadlines?,04919992b3,good,"The agent answer matches the ground truth well. It includes the key resources: the LLM Zoomcamp docs, the general Zoomcamp logistics docs, the LLM Zoomcamp GitHub repository, and the course management platform for deadlines. It also correctly summarizes the typical workflow and mentions that homework is submitted through the course platform before the deadline. The only difference is minor reordering and slightly different phrasing, which does not change the meaning.",good,"The single search query was relevant and included the main intent of the question: pages/repos, course work, deadlines, and FAQ. One call is reasonable for this straightforward lookup, and the tool use supported the final answer."
How is the homework usually set up compared with what we do in the lesson notebooks?,04919992b3,good,"The agent answer captures the core idea from the ground truth: homework is similar to the lesson notebooks but not identical, often involving a different dataset or slightly different task, and the homework instructions on GitHub provide the extra details. It omits some specifics from the original answer, such as the typical workflow steps and references to the docs/platform, but those are not essential to the direct question asked. Overall, it matches the key information.",good,"The single search query was relevant to the question and contained the main topic. One search is reasonable here, and there were no duplicate or unnecessary calls. Although the query was somewhat generic, it still supported the final answer adequately."
How can I find my own entry on the leaderboard if I don't see my name right away?,c2903069a0,good,"The agent’s answer matches the key point of the ground truth: use the “Jump to your record on the leaderboard” link to locate your entry. It also correctly mentions that the account has a random public nickname by default and that “Edit Course Profile” shows the display name. This is sufficiently aligned with the original answer, though it omits the extra details about the two profile fields and certificate name.",good,"The single search query was relevant to the question and included important concepts like leaderboard and not seeing your name. While somewhat verbose and a bit generic, it was reasonable to try a search first. Only one tool call was made, which is appropriate here, and there were no unnecessary duplicates."
Why do I have some random display name instead of my real name in the course records?,c2903069a0,good,"The agent’s answer matches the ground truth key points: accounts are assigned a random default name, the user can check their entry via the leaderboard link, and 'Edit Course Profile' lets them change the display name and official name. It also correctly distinguishes the first field as the nickname/display name and the second as the official name for the certificate. The only omission is the specific example and the note that the official name is mandatory for certificate purposes, but the core information is present.",good,"The search query was relevant and included important keywords from the question such as 'random display name', 'real name', and 'course records'. Only one search call was made, which is reasonable for a straightforward FAQ lookup. There were no unnecessary duplicate calls, and the tool use supported the final answer."
Where do I check what name is showing as my display name in the course profile?,c2903069a0,good,"The agent’s answer matches the key point of the ground truth: the user should check the **Edit Course Profile** page, where the first field is the display name/nickname. It omits the extra details about the random assigned name, the leaderboard link, and the official name/certificate field, but those are not strictly necessary to answer the question asked.",good,"The search query was relevant and included the main keywords from the question (display name, course profile). Only one search call was made, which is reasonable for this simple FAQ lookup. The tool use supported the final answer."
Can I change the nickname that appears publicly without affecting my certificate name?,c2903069a0,good,"The agent answer matches the ground truth. It correctly says the first field in Edit Course Profile controls the public/display nickname, while the second field controls the official certificate name, and that changing the nickname does not affect the certificate name. This preserves the key distinction asked in the question. It is slightly less detailed than the original, but fully correct.",good,"The single search query is relevant and includes the key concepts from the question: nickname, certificate name, and FAQ-style phrasing. One search is reasonable here, and there were no unnecessary duplicate calls. The tool call supports the final answer."
What should I edit if I want my real legal name to appear on the certificate instead of the default one?,c2903069a0,good,"The agent’s answer matches the ground truth. It correctly says to edit the second field in 'Edit Course Profile' because that is the official/legal name that will appear on the certificate, while the first field is only the public display/nickname. This contains the key information requested.",good,"The single search query was relevant and included core keywords about the certificate, legal name, and editing the profile. One search call was reasonable for this simple FAQ lookup, and there were no unnecessary duplicate calls."
Can I do the course on my own schedule and still get the certificate later?,69d122f12e,good,"The agent answer matches the ground truth. It correctly says you can work through the material in self-paced mode, but you cannot obtain the certificate that way. It also includes the key requirements: finishing with a live cohort, completing the capstone project, and doing the required peer reviews, while noting homework is not required. It even captures the nuance that project submission and peer review must occur while a live cohort is accepting them.",good,"The single search query was relevant to the question and included keywords related to self-paced study and certificates. One search was sufficient for this FAQ-style question, and there were no unnecessary duplicate calls."
"If I watch all the lessons self-paced, what else do I need for the certificate?",69d122f12e,good,"The agent answer matches the ground truth. It correctly states that watching all lessons self-paced is not enough, and that the certificate requires a capstone project, required peer reviews, and submission during a live cohort. It also correctly notes that homework is not required. The phrasing is slightly different but the key information is the same.",good,"The tool call was relevant and used appropriate keywords from the question ('certificate', 'self-paced lessons'). Only one search was needed, and there were no unnecessary or duplicate calls. The call supported the final answer well."
"Do I need to turn in homework to get certified, or is the final project enough?",69d122f12e,bad,"The agent’s answer is only partially correct. It correctly states that homework is not mandatory and that the capstone/final project is required. However, it misses a key condition from the ground truth: certification is only available if you finish the course with a live cohort, and capstone submission plus required peer reviews must happen while a live cohort is accepting them. The answer also incorrectly implies that completing the final project alone is enough, without mentioning peer reviews or the live cohort restriction.",good,"The search query was relevant to the question and included important keywords like homework, final project, certification, and FAQ. Only one search was used, which is reasonable for this simple question. However, the resulting answer omitted important details, so the tool use did not fully support a correct final response."
"Can I submit the capstone after the cohort ends, or does it have to be during the live run?",69d122f12e,good,"The agent answer matches the ground truth on the key point: capstone submission and peer review must happen during a live cohort, not after it ends, in order to count toward the certificate. It also correctly mentions that you can prepare in self-paced mode. The only minor difference is that the original answer explicitly says homework is not required, which the agent omitted, but that is not essential to the question asked.",good,"The search query was relevant and included the core terms from the question: capstone, submit, after cohort ends, live run, and FAQ. Only one search was needed, which is reasonable for a straightforward policy question. The tool call supported the final answer appropriately."
"Are peer reviews mandatory for the certificate, and can they be done outside the cohort window?",69d122f12e,good,"The agent answer matches the ground truth on the key points: peer reviews are required for the certificate, and they must be completed within the live cohort window, not outside it. It also correctly notes that self-paced preparation is allowed but submission/review must occur during an active cohort. This is consistent with the original answer.",good,"The single search query is relevant and contains the main keywords from the question (peer reviews, certificate, outside cohort window). One search was sufficient, and there were no unnecessary or duplicate tool calls. The tool use supported the final answer well."
"If I skip the first homework, can I still earn the course certificate?",9f689c185f,good,"The agent’s answer matches the ground truth on the key point that homework is not mandatory and skipping the first homework does not prevent earning the certificate. However, it adds extra requirements (peer reviews and live cohort accepting submissions) that are not present in the original answer, so it is not a perfect match. Still, the core answer is correct.",good,"The search query was relevant to the question and included important keywords like homework, certificate, and FAQ. Only one search was used, which is reasonable, and there were no unnecessary duplicate calls. The tool call supported the final answer."
"Do I have to do every homework to get the certificate, or is the final project enough?",9f689c185f,good,"The agent’s answer matches the ground truth on the key point: homework is not mandatory for the certificate, and the capstone/final project is required. However, it introduces extra requirements not present in the original answer (live cohort and required peer reviews). Since the main question asks whether every homework is necessary versus the final project being enough, the core answer is correct.",good,"The search query was relevant to the question and included important keywords like certificate, homework, and final project. Only one search was needed and that is reasonable. The call supported the final answer, though it was somewhat broad."
What do I need to complete in order to receive the certificate for this course?,9f689c185f,bad,"The agent answer is not fully aligned with the ground truth. The correct requirement given is to pass the Capstone project to receive the certificate, and homework is not mandatory. The agent included capstone project and homework not required, which matches, but also added extra requirements about finishing with a live cohort and completing required peer reviews that are not present in the original answer and may be incorrect. Therefore the answer should be marked incorrect overall.",good,"The single search query is relevant to the question and contains key terms like certificate requirements, but it is broad and not very targeted. One search call is reasonable, and there were no unnecessary duplicates. However, the tool call did not clearly support the final answer, especially the added cohort and peer review requirements that were not grounded in the provided answer."
"Are homework assignments required, or are they only there to help me practice and improve my score?",9f689c185f,bad,"The agent answer does not match the ground truth. The correct answer says homework is not mandatory, though recommended for reinforcing concepts, and that homework points count toward leaderboard rank. The agent incorrectly states that homework is part of the course and implies it is required, which conflicts with the FAQ. It also adds unrelated details about homework being ""ready"" and draft labels that are not in the original answer. ",good,"The tool call was only moderately relevant: it searched for homework being required and about practice/improve score, which matches the question. However, the search appears to have led to an incorrect interpretation, and there was only one query with no refinement or verification. The single search call is reasonable, but the final answer did not reflect the FAQ correctly."
"Does missing homework affect my eligibility for the certificate, or just my leaderboard position?",9f689c185f,good,"The agent answer matches the ground truth on the key point: homework is not mandatory for the certificate, and it affects leaderboard rank. It also correctly states that passing the Capstone project is required for the certificate. The added mention of peer reviews is not in the original answer, but it does not contradict the ground truth and is framed conditionally. Overall, the answer contains the same essential information.",good,"The search query was relevant and included important terms from the question such as homework, certificate eligibility, and leaderboard position. Only one search was needed, and it was reasonable for this simple FAQ lookup. The tool call supported the final answer."
Why does the homework page keep changing before it’s due?,96286b4be4,good,"The agent answer matches the ground truth closely. It correctly states that the homework is still a draft if the title contains [DRAFT], that it is only ready when the form is open and the title does not contain [DRAFT], and that the content may change before then at the student's own risk. This preserves the key information from the original answer.",good,"The single search query was relevant to the question and reasonably targeted at the homework FAQ. Only one tool call was needed, and there were no redundant or unnecessary searches. The tool use was appropriate and supported the final answer."
What does it mean when a homework title has [DRAFT] in it?,96286b4be4,good,"The agent answer matches the ground truth. It correctly states that [DRAFT] means the homework is not ready yet, and that readiness requires both the form to be open and the title to no longer contain [DRAFT]. It also conveys that the content may still change and that working early is at the student's own risk. This preserves the key information from the original answer.",good,"The single search query was relevant and included the key keyword [DRAFT] along with homework title/FAQ context. Only one tool call was needed, and there were no unnecessary or duplicate searches. The tool use reasonably supported the final answer."
How do I know the homework is actually ready and final?,96286b4be4,good,"The agent answer matches the ground truth. It correctly states that the homework is ready only when the form is open and the title does not contain [DRAFT], and it also captures the warning that the content may still change and working early is at the student's risk. This preserves the key information from the original answer.",good,"The tool call was relevant and used appropriate keywords related to homework readiness and final status. Only one search was made, which is reasonable for this simple FAQ-style question, and there were no unnecessary or duplicate calls."
Can the homework tasks still change even if I already started them?,96286b4be4,good,"The agent answer matches the ground truth. It correctly states that homework can still change if it is not yet ready, and it includes the two readiness conditions: the form being open and the title not containing [DRAFT]. It also conveys the risk of working early. This preserves the key information from the original answer.",good,"The single search query was relevant to the question and aimed at the homework change/started status issue. Although it was somewhat broad, it was reasonable and not excessive. One tool call is sufficient here, and the tool use supported the final answer."
Is it safe to do the homework early if the title still says [DRAFT]?,96286b4be4,good,"The agent answer matches the ground truth well. It states that if the title still says [DRAFT], the homework is not ready yet, and it correctly includes the two conditions for readiness: the form being open and the title not containing [DRAFT]. It also preserves the key caution that working early is at the student's own risk because the final version may change. Minor wording differences do not affect correctness.",good,"The single search query was relevant and included the key keyword [DRAFT] along with homework and FAQ context. One tool call is reasonable here, and there were no unnecessary duplicates or missed refinements. The tool call plausibly supported the final answer."
When is the next run of this course going to happen?,bd31146b0e,good,The agent's answer exactly matches the ground truth: 'Summer 2027.' It correctly identifies the next run of the course and provides the same key information.,good,"The tool call was reasonable and relevant. The query directly asked about the next run/date of the course and used appropriate keywords. Only one search was needed, and there were no unnecessary duplicate calls."
Do you know what term the course is scheduled for again?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning and key detail: the course is scheduled for Summer 2027.,good,"The single search query was relevant to the question and reasonably aimed at finding the scheduled term. Only one tool call was needed, and there was no unnecessary repetition."
Is there a date for the next time this class will be offered?,bd31146b0e,good,The agent's answer matches the ground truth exactly in substance: it states the next offering is Summer 2027. This contains the key information requested and is correct.,good,"The single search query was relevant to the question and included key terms about the next offering/date. One search call was sufficient, and there were no unnecessary duplicate calls. The tool use reasonably supported the final answer."
When should I expect this course to open up again?,bd31146b0e,bad,"The agent did not answer the actual question. The ground truth says the course will open again in Summer 2027, but the agent only gave generic submission-form information and explicitly said it couldn't find the reopening date. This misses the key fact.",good,"The search query was related to the question, but it was too broad and did not specifically target the expected reopening timing or the course schedule. Only one search call was made, which is reasonable, but it failed to retrieve the crucial answer and the final response did not align with the FAQ."
Will this course be available in Summer 2027?,bd31146b0e,good,The agent answer matches the ground truth: it states that the course will next be offered in Summer 2027. This contains the key information and directly answers the question.,good,"The single search query is relevant and includes the key term 'Summer 2027' along with course availability/FAQ wording. One search call is sufficient for this question, and the tool use reasonably supports the final answer."
Where do I find the course videos for each lesson?,31456f4b5f,good,"The agent answer matches the ground truth. It correctly says the course videos are in the LLM Zoomcamp GitHub repository, that you should open the lesson folders, and that each lesson page has the relevant videos linked at the top. It also correctly notes that the GitHub repo is the preferred source because it stays updated more easily than the YouTube playlist.",good,"The single search query was relevant to the question and included core concepts like course videos, lesson, and FAQ. Although it was somewhat generic, one search call was reasonable for this simple question and no unnecessary duplicate calls were made. The tool use supports the final answer."
Is there a main page or repo I should start with for the lectures?,31456f4b5f,good,"The agent answer matches the ground truth: it identifies the LLM Zoomcamp GitHub repository as the main entry point, instructs the user to open the lesson folders, notes that each lesson page links relevant videos at the top, and says to prefer the GitHub repo over the YouTube playlist because it is more reliably updated. This contains all key points from the original answer.",good,"The tool call was reasonable and relevant, though broad. The query included the core concepts of the question (main page/repo/lectures), and only one search was used, which is appropriate here. There were no unnecessary duplicate calls."
"I can't find the videos in YouTube, where are the lesson links posted?",31456f4b5f,good,"The agent answer matches the ground truth well. It correctly says the GitHub repo is the main entry point, that lesson folders contain the lesson pages, and that the video links are at the top of each lesson page. It also correctly notes the repo is more up to date than the YouTube playlist. This contains all key information from the original answer, just phrased more concisely.",good,"The search query is relevant to the user’s question and contains the key idea of where lesson links are posted. Only one search call was made, which is reasonable for a simple FAQ-style question. The tool call was not strictly necessary, but it was not wasteful and did not hurt the final response."
Do the lesson folders include the lecture recordings somewhere?,31456f4b5f,good,"The agent answer matches the ground truth: it states that lesson folders in the GitHub repo include the relevant lecture videos/recordings linked at the top of each lesson page, and it also correctly mentions that the GitHub repo should be used as the main entry point because it is easier to keep updated than the YouTube playlist. This preserves the key information from the original answer.",good,"The single search query was relevant to the question and contained important keywords like lesson folders and lecture recordings. One search was sufficient here, and there were no unnecessary duplicate calls. The tool use reasonably supported the final answer."
What's the best place to check first if I want the latest course videos?,31456f4b5f,good,"The agent answer matches the ground truth: it identifies the LLM Zoomcamp GitHub repository as the main entry point, notes that lesson pages contain video links at the top, and mentions that it is easier to keep updated than the YouTube playlist. This captures the key guidance from the original answer.",good,"The single search query was relevant to the question and the number of tool calls was reasonable. While it was somewhat generic and did not explicitly include 'LLM Zoomcamp' or 'GitHub', it still supported the final answer and there were no unnecessary duplicate calls."
